Deposit,Lat_WGS84,Long_WGS84,State,MinSystem,DepType,CritMin,FocusArea,DepCat,Rank ,Production,Resources,Source_s,Links
McAllister,32.88555,-86.24857,AL,Porphyry Sn (granite-related),Pegmatite LCT,"tantalum, tin",Alabama pegmatite zone,CM resources,3,None.,"Combined reserves of all classes are approximately 91,000 kg SnO2 and 90,000 kg Ta2O5; Sn and Ta occur through out the pegmatite dike, averaging 0.08% SnO2 and 0.07% Ta2O5.",Karl and others (2018); Foord and Cook (1989),https://doi.org/10.5066/P97JYNJL
McDermitt,42.04162,-118.05924,OR,Lacustrine evaporite,Lithium clay,lithium,McDermitt Caldera,CM resources,3,None.,"Total Measured, Indicated, and Inferred resources (2023): 3,000,000,000 metric tons @0.288% Li2O (8,686 000 metric tons Li2O).",Jindalee Resources Limited (2023),
McFadden Peak fluorspar,33.90174,-110.9682,AZ,Climax-type,Fluorspar,fluorspar,Tonto Fluorspar,CM-past producer+resources,5,"Production: 22,679 tonnes ore (for testing only).","Resource: historical Indicated resource of 450,000 tons @65% CaF2.",MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10056467
McGregor mine,34.3356,-113.61911,AZ,Volcanogenic seafloor,"Manganese oxide (layers, crusts, nodules)",manganese,Artillery Mountains manganese,CM-past producer+resources,5,"Production (<1946): 5,000 tons sorted high grade ore; (1953-1955): 9,350 long tons, averaging 33.8% Mn.","Estimated Indicated resource of 62,201,000 t at an average grade of 2.3% Mn, and an Inferred resource of 20,033,000 t at an average grade of 2.5% Mn.",MRDS (2005); Farnham and others (1961),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10027643
McGuffy Creek group,41.7206,-123.054,CA,Mafic magmatic,Chromite,chromium,Klamath Mountains chromite,CM-past producer+resources,5,Production (WWI): 509 long tons hand-sorted chromite ore; (1944): 44.85 long tons hand-sorted chromite ore (Lady Gray claim).,"Resource (1986): 417,000 metric tons of ore @8.9% Cr2O3.",Wetzel (1986); Wells and others (1949),
Meadow-Leader,48.6395,-121.9014,WA,Mafic magmatic,Chromite,chromium,North-Central Washington ultramafics,CM resources,3,None.,"Indicated + Possible reserve (1975): 1,500,000 long tons ore @8.1% Cr.",Lucas (1975),
"Meeke, East gossan",34.83682,-118.74207,CA,Porphyry Sn (granite-related),Porphyry/skarn,tin,Gorman tin district,CM-past producer+resources,5,Production (1943-1944): Meeke mine - 4.9 tons ore @39.4% Sn.,Reserve (East Gossan; 1946): 700 tons ore @2.0% Sn.,Karl and others (2018),https://doi.org/10.5066/P97JYNJL
"Meeke, West gossan",34.83676,-118.74284,CA,Porphyry Sn (granite-related),Porphyry/skarn,tin,Gorman tin district,CM-past producer+resources,5,Production (1943-1944): Meeke mine - 4.9 tons ore @39.4% Sn.,"Reserve (West Gossan; 1946): 22,440 tons ore @0.2% Sn.",Karl and others (2018),https://doi.org/10.5066/P97JYNJL
Mesaba project (Minnamax; Babbitt),47.63166,-91.88323,MN,Mafic magmatic,Nickel-copper-PGE sulfide,"cobalt, nickel, PGE",Midcontinent Rift large mafic intrusions,CM resources,3,None.,"Resources (2022): Measured and Indicated resource: 2,206,787 short ktons @0.428% Cu, 0.102% Ni, 76.5 ppm Co, 0.034 ppm Pt, 0.097 ppm Pd, 0.025 ppm Au, and 1.19 ppm Ag. Inferred resources: 1,422,703 short ktons @0.368% Cu, 0.094% Ni, 67.9 ppm Co, 0.043 ppm Pt, 0.143 ppm Pd, 0.026 ppm Au, and 0.98 ppm Ag.",MRDS (2005); Listerud and Meineke (1977); Welhener and Crowie (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10039042
Meyers Cove,44.85318,-114.5005,ID,Alkalic porphyry,Fluorspar,fluorspar,Challis fluorspar,CM-past producer+resources,5,"Total production from area ~35,400 metric tons fluorite.","Proved + Probable reserves (Big Lead, Bear Trap, and South deposits; 1949): 2,978,789 tons ore @27.15% CaF2.",MRDS (2005); Burgin (1949),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10069418
Meyers Ranch,38.79306,-105.59586,CO,Porphyry Sn (granite-related),Pegmatite LCT,"beryllium, niobium, tantalum",Meyers Ranch,CM-past producer+resources,5,"Production (1930s): 200 tons feldspar, 150 tons scrap mica, 25 tons beryl, and 1 ton columbite-tantalite.","Reserves are difficult to estimate as the percentages of muscovite, feldspar, beryl, and columbite varies and character at depth is unknown; an estimated 7,500 tons of rock contains about 1,900 tons muscovite, 38 to 150 tons of beryl, and 15 to 30 tons columbite.",MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10013023
Miami-Inspiration,33.40562,-110.89125,AZ,Porphyry Cu-Mo-Au,Porphyry/skarn copper,rhenium,Southwest Laramide Porphyry Belt,Recent producer+CM resources,4,"Production (1909-2016): 11,012,206,000 lbs Cu, 15,486,000 lbs Mo, 22,000 troy oz Au, and 2,193,000 troy oz Ag.","Resource (2017): 15,910,000,000 metric tons ore @0.04% Mo, 0.009 g/metric ton Au, and 0.10 g/metric ton Re.",Burger and Long (2018),https://doi.org/10.5066/F7KP81F2
Mica Lode mine,38.4786,-105.3025,CO,Climax-type,Pegmatite NYF,"beryllium, niobium, tantalum",Eight Mile Park district,CM-past producer,1,"Production: 152,180 metric tons feldspar, 31,230 metric tons scrap mica, 51 metric tons of beryl, and 615 lbs of columbite-tantalite.",Unknown.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10013530
Midnight Creek,64.3189,-155.5348,AK,Placer,Cassiterite,tin,Placer Au,CM-past producer,1,"Production (1917-1918): 537 lbs Sn; (1940-1942): 7,320 lbs Sn concentrate. Cassiterite concentrate recovery in 1971 was 1,037 lbs, 537 lbs Sn. In 1940-1942, 7,320 lbs concentrate is thought to represent about 5,100 lbs Sn (Chapman and others, 1963). During 1989 and 1990, $150,000 of Sn in cassiterite was recovered, roughly equivalent to about 25 tonnes. Tungsten has been reported as being produced (Brooks, 1918).",Unknown.,ARDF-ID: RB019; Brooks (1918); Chapman and others (1963); Karl and others (2018),https://doi.org/10.5066/P97JYNJL
Midnight Owl,33.99839,-112.51407,AZ,Porphyry Sn (granite-related),Pegmatite LCT,"beryllium, lithium, niobium, tantalum",White Picacho,CM-past producer,1,Production (1947-1952): 62 tons of amblygonite @7.5-4% Li2O and 13 tons of beryl @11-12% BeO.,Unknown.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10027532
Miller Gulch,65.0693,-150.9314,AK,Placer,Cassiterite,tin,Placer Au and Sn,CM-past producer+resources,5,"Production (1906-1956): 2,668 oz Ag, 101,875 lbs Sn concentrate, 28,501 oz Au.",See Idaho Gulch.,ARDF-ID: TN085; see also TN086 (Idaho Gulch) and TN088 (Tofty Gulch); Karl and others (2018),https://doi.org/10.5066/P97JYNJL
Mineral Park deposit,35.36078,-114.14697,AZ,Porphyry Cu-Mo-Au,Porphyry/skarn copper,rhenium,Southwest Laramide Porphyry Belt,Past producer+CM resources,2,"Production (1965-2013): 87,728,692 lbs Mo, 7,300,000 troy oz Ag, and 978,084,679 lbs Cu. Mine closed in 2014.","Resource (2017): 876,000,000 metric tons ore @0.011% Mo, 0.489% Cu, and 0.05 g/metric ton Re.",Burger and Long (2018),https://doi.org/10.5066/F7KP81F2
Mineral Spring,48.84858,-100.10049,ND,Chemical weathering,Supergene manganese,manganese,Turtle Mountains manganese,CM resources,3,None.,"Resource: ~16,000 tonnes manganese ore (rancieite in calcareous tufa) with an average grade of ~10% Mn.",MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10199865
Mirror Harbor,57.7855,-136.3082,AK,Mafic magmatic,Nickel-copper-PGE sulfide,nickel,Southeast Alaska Fairweather trend PGE,CM resources,3,None.,"The largest body of disseminated sulfides at the Fleming Island deposit is estimated to contain 8,000 tons of material averaging 1.57% Ni and 0.88% Cu, and probably a little Co. (Cobb, 1978). Another report cites a high-grade zone at Mirror Harbor containing 7,300 tons averaging 1.60% Ni and 0.90% Cu. Samples collected by USBM contained up to 0.002 opt Au, 0.003 opt Pt, 0.003 opt Pd, and 0.093 opt Ag.",ARDF-ID: SI040; Cobb (1978); Still (1988),
Misheguk Mountain deposit,68.2436,-161.0687,AK,Mafic magmatic,Chromite,chromium,Northern Brooks Range (Angayucham Terrane) PGE,CM resources,3,None.,"Estimated resources (1992): 78,000 to 261,000 st Cr2O3.",ARDF-ID: MU002 and MU003; Foley and others (1992),
Mission mine,31.0715,-81.96367,GA,Placer,Ilmenite/rutile/leucoxene,"titanium, zirconium",Fall Zone Placers,CM-recent producer+resources,6,"Production from Mission South (2014): 5,000 metric tons of zircon. The mineral assemblage is highly variable: ilmenite plus leucoxene percentages can range 25%-45%, rutile from 9%-20%, and zircon from 9%-24%.","Unavailable. Chemours operates a mineral sands mine in Jesup, GA in addition to the Mission mine.",Oladeni (2022); Van Gosen and Ellefsen (2018),
Moab,38.5047,-109.68,UT,Marine evaporite,Potash,potash,Paradox Basin evaporites,CM-past producer+resources,5,"Production at Cane Creek underground mine in 1964; subsequent solution mining started in 1970. Before 1974, 1.7 million tons of potash produced. In 2021, Moab produced 118,000 tons of KCl. Annual production about 110,000 tons (varies with evaporation rates).",Total reserves and resources (2021): 321.7 million metric tons @25% K2O.,"Intrepid Potash, Inc. (2022)",
Mohawk mine,45.67823,-112.32838,MT,Mafic magmatic,Chromite,chromium,Tobacco Root chromite,CM-past producer,1,Production (1940-1944): Cr - quantity unknown.,Unknown.,MRDS (2005),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10108480
Monte Cristo mine,36.13319,-92.55457,AR,Basin brine path,Zinc-lead (MVT and sedex),zinc,Northern Arkansas MVT Mineral District,CM-past producer+resources,5,"Production (1916-1918): 1,971 tons of Zn concentrate from smithsonite.","Reserve (1943): 120,000 tons ore @4.7% Zn, or 75,000 tons @7.5% Zn.",MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10235149
Monument,37.7958,-109.1161,UT,Marine evaporite,Potash,potash,Paradox Basin evaporites,CM resources,3,None.,"Inferred resource (2014): 188,300,000 metric tons ore @26.96% K2O. Potential resource (2014): 90,200,000 metric tons ore @11.11% K2O.",Stirrett and Shewfelt (2014),
Monumental Summit,44.90378,-115.2674,ID,Metamorphic,"Gneiss REE (monazite, xenotime)",REE,Yellow Pine/Stibnite Mining District,CM resources,3,None.,"Resource (1973): 95,000 tons ore, @7.2 lbs/ton REE (represents about 310 metric tons REE).",Bellora and others (2019),https://doi.org/10.5066/F7FN15D1
Morenci mine,33.0965,-109.3603,AZ,Porphyry Cu-Mo-Au,Porphyry/skarn copper,"rhenium, zinc",Southwest Laramide Porphyry Belt,CM-recent producer+resources,6,"Production (1973-2015): 208,000 lbs Zn, 37,471,383,000 lbs Cu, 2,569,000 troy oz Ag, 224,000 lbs Pb, 65,887,000 lbs Mo, and 504,000 troy oz Au.","Proven + Probable mineral reserve (2016): 684,000,000 metric tons mill ore @0.02% Mo and 0.42% Cu. Resource (2017): 6,470,000,000 metric tons ore @0.072 g/metric ton Re.",Burger and Long (2018),https://doi.org/10.5066/F7KP81F2
Mouat nickel-copper mine,45.37947,-109.89796,MT,Mafic magmatic,Chromite,chromium,Stillwater Complex,CM-past producer+resources,5,Production (1953-1961): 1.9 million tonnes @38.5% Cr2O3.,Resources: estimated that 13.6 million tonnes ore @20 to 22% Cr2O3 remains at the Mouat and Benbow mines.,Childs and Armitage (2021),
Mouat-Sampson Mine chromite deposit,45.38728,-109.90668,MT,Mafic magmatic,Chromite,chromium,Stillwater Complex,CM resources,3,None.,"Resources (1984): 15,104,000 metric tons ore @22.6% Cr2O3.",Zientek and Parks (2014); Wetzel (1986),
Mount Chase/Pickett Mountain,46.134,-68.445,ME,Volcanogenic seafloor,Polymetallic sulfide,zinc,Callahan mine area,CM resources,3,None.,"Total Measured, Indicated, and Inferred resources (2021): 6,317,600 metric tons @9.12% Zn, 3.83% Pb, 1.16% Cu, 101.9 g/t Ag, and 0.74 g/t Au.",MRDS (2005); Bakker and others (2020),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10048799
Mount Hope,39.78742,-116.15897,NV,Climax-type,Porphyry molybdenum,zinc,Mount Hope,CM-past producer+resources,5,"Production (1870-1970): Small scale underground mining for zinc, copper, silver. Recent focus on Mo potential.","Resource (1946): ~176,000 metric tons ore @9.9% Zn. Resources (1970): 290,000 metric tons @6% Zn. Proven and Probable Reserve (2014): 985 Mt at 0.07% MoS2; Measured and Indicated resource: 65 Mt at 0.033% MoS2.",MRDS (2005); Matson (1946); Huss and others (2014),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10044732
Mount Tolman mine,48.0475,-118.7054,WA,Porphyry Cu-Mo-Au,Porphyry/skarn copper,rhenium,Mount Tolman,CM resources,3,Unknown.,"Resource (1990): Proven and Probable reserve of 2.4 billion tons of ore with an average grade of 0.093% MoS2 and 0.09% Cu; the cutoff grade used was 0.048% MoS2; (2017): 2,177,000,000 metric tons ore @0.09% Cu, 0.054% Mo, and 0.163 g/metric ton Re.",MRDS (2005); Burger and Long (2018),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10155557
Mount Vernon,48.3687,-122.29291,WA,Mafic magmatic,Chromite,nickel,North-Central Washington ultramafics,CM resources,3,No ore shipped; drilled 1930s and 1940s-era mining operation planned but not developed.,Resource: 45 Mt of ore at 0.27% Ni.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10047917
Mount Wheeler,38.90106,-114.34001,NV,Climax-type,Polymetallic sulfide S-R-V-IS,"beryllium, fluorspar, tungsten",Mount Wheeler mine area,CM-past producer+resources,5,"Production (1952-1954): 1,800 tons @1.3% WO3.","Resource (2002): >200,000 metric tons @0.2% WO3, 0.75% BeO, 20% CaF2.",MRDS (2005); Barton and Young (2002),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10037300
Mountain Fuel,42.6393,-111.2855,ID,Marine chemocline,Phosphate,REE,Phosphoria Formation,Past producer+CM resources,2,Production of phosphate.,"Resource (1989): 5,400,000 metric tons @0.166% monazite.",Bellora and others (2019),https://doi.org/10.5066/F7FN15D1
Mountain Pass deposit,35.48087,-115.53399,CA,Magmatic REE,Carbonatite,REE,Mountain Pass,CM-recent producer+resources,6,"Production (1952-2014). 614,000 short tons REO. Reopened in 2022, producing 42,499 metric tons of lanthanides (677,000 short tons REO).","Total reserves and resources (2022): 35,951,731 metric tons @5.94% lanthanides (2,134,152 metric tons lanthanides).",Bellora and others (2019); MP Materials (2022),https://doi.org/10.5066/F7FN15D1
Mountain Springs,40.3068,-117.04154,NV,Basin brine path,Barite (replacement and bedded),barite,North-central Nevada barite,CM-recent producer+resources,6,"Production (2021): 46,500 short tons of barite.","Unknown, but an intermittently active mine. Production alternates with the Greystone mine.",MRDS (2005); Visher and Patterson (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10271105
"Mt. Hamilton, Monte Cristo mine",39.2453,-115.5515,NV,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Central Nevada tungsten skarns,CM-past producer+resources,5,Production (1954): 434 tons ore @0.447% WO3.,"Ore reserve (2014): 4,200,000 tons ore @0.6% Cu and 0.37% Mo; 6,200,000 tons ore @0.37% WO3.",Karl and others (2020),https://doi.org/10.5066/P97NJLI4
Muscovite mine,46.88956,-116.57933,ID,Reduced intrusion-related,Pegmatite LCT,beryllium,Latah County beryllium,CM-past producer,1,"Production (1946-1954): 235,800 metric tons ore @0.18% Be.",Unknown.,MRDS (2005),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10290309
"Music Valley, Baby Blue",34.01533,-115.93986,CA,Metamorphic,"Gneiss REE (monazite, xenotime)",REE,Music Valley,CM resources,3,None.,"Resource (1993): 50,000 metric tons ore @8.6% TREO.",Bellora and others (2019),https://doi.org/10.5066/F7FN15D1
Needles magnesite deposit (White Moon),34.77643,-114.77641,CA,Marine evaporite,Sedimentary magnesite,magnesium,Southern California magnesite,CM resources,3,Unknown.,Resource: possible additional 5 to 10 million short tons of magnesite.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10164450
Nevada fluorspar (Lander Co.),39.8315,-116.9922,NV,Climax-type,Fluorspar,fluorspar,Iowa Canyon district,CM-past producer,1,"Production (1974): 924,000 short tons @26% CaF2.",Unknown.,Nevada Bureau of Mines and Geology (2017),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10295674
Nevada Scheelite,39.01455,-118.32345,NV,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Central Nevada tungsten skarns,CM-past producer,1,"Production (1935-1982): 310,000 stu WO3.",Unknown.,Karl and others (2020),https://doi.org/10.5066/P97NJLI4
New Prospect mine,36.39787,-83.84046,TN,Basin brine path,Zinc-lead (MVT and sedex),zinc,Powell River Zinc District,CM-past producer,1,"Production (1883-1901): 100,000 tons of Zn ore; (1939-1943) 3,089 tons ore containing 72 tons Zn and 31 tons Pb was entirely from pillars.",None (because of removal of pillars).,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10025409
New Rambler mine,41.22028,-106.28111,WY,Porphyry Cu-Mo-Au,Polymetallic sulfide S-R-V-IS,PGE,Medicine Bow Mountains,CM-past producer,1,"Production (1900-1918): 6,080 short tons ore containing 1,753,924 lbs Cu, 171.35 oz Au, 7,346 oz Ag, 170.16 oz Pt, 451.409 oz Pd.",Unknown.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10103638
Newry mines,44.54444,-70.72111,ME,Porphyry Sn (granite-related),Pegmatite LCT,tin,Oxford County pegmatite field,CM resources,3,Unknown.,Reserve (1942): 7 metric tons ore @78.77% Sn.,MRDS (2005),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10194447
Niblack,55.0576,132.1461,AK,Volcanogenic seafloor,Copper-zinc sulfide,zinc,Southeast Alaska VMS,Past producer+CM resources,2,"The total production of the Niblack Mine from 1902 to 1909 (based on incomplete records) was 1,400,000 lbs Cu, 1,100 oz Au, and 15,000 oz Ag.","Total Indicated resources (2022): 5,851,000 tonnes ore @0.94% Cu, 1.73% Zn, 1.83 g/t Au, and 29 g/t Ag; Total Inferred resources of 214,000 tonnes @0.93% Cu, 1.38% Zn, 4.52 g/t Au, and 18 g/t Ag. Resources at the old Niblack Mine are considered zero, but are considerable at what is being called the 'Niblack' or 'Niblack project', near the nearby, old Lookout prospect (ARDF-ID: CR221).",ARDF-ID: CR216 and CR221; Arseneau (2023),
Nickel Mountain,42.96021,-123.43628,OR,Chemical weathering,Nickel-cobalt laterite,"cobalt, nickel",California-Oregon laterites,CM-past producer+resources,5,"Production (1964-1984): 550,000,000 lbs Ni commodity, estimated contained 250,000 metric tons Ni.","Resource (1969): 16,000,000 tonne @0.05% Co; (2011): 37,500,000 tonnes @0.8% Ni.",Burger and others (2018),https://doi.org/10.5066/P9V74HIU
Nightingale,40.00975,-119.22758,NV,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Northern Nevada tungsten skarns,CM-past producer,1,"Production (1918-1971): 40,044 stu WO3.",Unknown.,Karl and others (2020),https://doi.org/10.5066/P97NJLI4
Nikolai,63.33,-145.59333,AK,Mafic magmatic,Nickel-copper-PGE sulfide,"cobalt, nickel, PGE",Talkeetna Mountains-Eastern Alaska Range PGE,CM resources,3,None.,"Exploration (2022) target estimated (non-compliant) contains between 140 million tonnes and 211 million tonnes, with grades ranging from 0.28% NiEq to 0.42% NiEq. Potential grades: 0.16-0.25% Ni, 0.06-0.08% Cu, 0.014-0.020% Co, 0.035-0.053 g/t Pt, 0.077-0.115 g/t Pd, and 0.010-0.015 g/t Au.","ARDF-ID: MC136; Millrock Resources, Inc. (2022)",
